x,t,tf,ts
0.77905,0.903,1.0596266,1.0336646
0.38664374,0.693,1.0004995,1.00016
0.87009686,0.646,1.6387724,1.426269
0.052496877,0.77,1.0001274,1.0001109
0.023896875,0.262,1.0000626,0.99982405
0.95607185,0.567,2.114355,1.8201864
0.68219376,0.386,2.1070821,1.7288972
0.30955625,0.546,1.0002666,1.0001862
0.46715313,0.279,1.7835665,1.3782194
0.4945906,0.971,1.0002364,1.0002705
0.22500312,0.913,1.0000048,0.9999258
0.03591875,0.811,1.0000079,1.0001082
0.48319688,0.196,2.4695442,1.7772167
0.6902437,0.695,1.1583494,1.0871184
0.44315624,0.02,3.827559,2.241825
0.3841,0.708,1.0004845,1.0001723
0.44604063,0.139,2.770938,1.8522475
0.12538438,0.589,1.0001202,1.0002024
0.74691874,0.103,3.5995216,3.0169475
0.26675624,0.447,0.9999984,1.000192
0.41478124,0.298,1.375254,1.1525633
0.7092094,0.138,3.4086528,2.8207026
0.6320094,0.392,1.9036653,1.5569806
0.1558,0.01,1.0012889,0.99886274
0.71251565,0.504,1.6955599,1.4383222
0.09795625,0.945,0.99997413,1.0000952
0.11436875,0.223,0.9997317,0.9998729
0.31944376,0.983,0.99971205,0.9997671
0.47967812,0.585,1.0214692,1.0095756
0.89074063,0.713,1.4985809,1.3262684
0.6482281,0.286,2.514456,2.0222566
0.34482813,0.663,1.0004594,1.0000982
0.94904375,0.381,2.8146143,2.450852
0.10993125,0.32,0.9998394,1.0001192
0.8248625,0.017,3.9444747,3.3006413
0.94948125,0.869,1.2826253,1.1861907
0.546725,0.948,1.000857,1.000371
0.7048,0.698,1.1763549,1.0983539
0.22241563,0.005,0.9976651,0.99815494
0.16214688,0.379,0.99991477,1.0000018
0.79780936,0.771,1.2091883,1.1229588
0.27048126,0.949,0.9997184,0.99983716
0.66192186,0.372,2.1074255,1.7188873
0.87855935,0.125,3.6282952,3.1924741
0.88411564,0.499,2.1960387,1.8725036
0.30265313,0.238,1.0316912,1.0060611
0.15735,0.591,1.0001817,1.000231
0.23801562,0.281,0.9998819,1.000081
0.82769686,0.41,2.4215152,2.047786
0.16788438,0.301,0.9998149,0.9998466
0.6796687,0.9,1.0155276,1.0078028
0.66630936,0.251,2.757834,2.2343585
0.55574685,0.855,1.0019877,1.0011573
0.031365626,0.416,0.99996644,0.9998852
0.9491,0.969,1.1677157,1.1225901
0.10648125,0.952,0.99996096,1.0000993
0.46907812,0.25,1.9892769,1.4879552
0.6698125,0.427,1.8744969,1.5522012
0.9013375,0.717,1.510638,1.3361843
0.74015,0.84,1.0702502,1.037714
0.22305937,0.232,1.0000045,0.99994165
0.39756563,0.062,3.3404894,1.8897127
0.1452,0.496,1.0000644,1.0002413
0.297875,0.627,1.0005419,1.0002692
0.7816188,0.334,2.645343,2.2227035
0.3408125,0.64,1.0004156,1.0000952
0.102390625,0.09,0.99969316,0.99963486
0.108625,0.754,1.000155,1.0001255
0.85420626,0.612,1.7065387,1.4745867
0.38711563,0.635,1.0005966,1.0001462
0.29645938,0.951,0.9996754,0.9997595
0.16205625,0.949,0.99992764,0.99992764
0.39565313,0.828,1.0003777,1.000273
0.40058124,0.301,1.28719,1.1108018
0.171225,0.344,0.9998604,0.999899
0.22836563,0.282,0.9997158,0.99992853
0.81301564,0.163,3.434926,2.9639304
0.49112812,0.95,1.0002283,1.0002731
0.47385937,0.28,1.8150649,1.4005259
0.3158219,0.39,1.0012069,1.0001954
0.58980936,0.364,1.8812002,1.520768
0.123315625,0.565,1.0001001,1.0002085
0.87333125,0.542,2.001861,1.7091597
0.51624376,0.612,1.0334637,1.0158063
0.067865625,0.639,1.0001876,1.0000793
0.45482188,0.946,1.0000708,1.0003816
0.480125,0.791,1.000709,1.0005163
0.7423375,0.417,2.1518312,1.7902913
0.6534375,0.933,1.0059179,1.0031514
0.8969531,0.668,1.6358452,1.4278114
0.36150625,0.029,3.6270862,1.7415634
0.68282187,0.772,1.0703669,1.0371231
0.24235937,0.536,1.000323,1.0002836
0.7216719,0.832,1.0614655,1.0324849
0.3302844,0.812,1.0002372,1.0000405
0.43728438,0.381,1.1864383,1.0791203
0.7785,0.095,3.6560733,3.100107
0.91590625,0.11,3.6982996,3.2833366
0.57039374,0.385,1.7003977,1.3951029
0.11818125,0.368,0.99988246,1.0001754
0.15195,0.613,1.0001811,1.0002205
0.2038375,0.458,1.000098,1.0000882
0.006190625,0.528,1.0001471,1.0
0.24265938,0.481,1.0000571,1.0001906
0.22856562,0.248,0.9999672,0.9999976
0.41698125,0.829,1.0003229,1.0003407
0.08230625,0.872,1.0000572,1.0000956
0.79638124,0.016,3.9443135,3.2582812
0.6008437,0.803,1.0127528,1.0066539
0.03535625,0.923,0.9997959,1.0000172
0.26955312,0.007,3.6408854,1.0857527
0.5889469,0.935,1.0014766,1.0008067
0.94184065,0.943,1.1791991,1.1252258
0.41260624,0.256,1.58992,1.2408621
0.32603437,0.927,0.9998415,0.9998484
0.24877812,0.286,0.9998917,1.0002068
0.2745,0.016,3.3597653,1.1092254
0.58465314,0.71,1.032844,1.0167143
0.6987187,0.058,3.7506604,3.024797
0.8776906,0.63,1.7064996,1.4782679
0.39635313,0.852,1.0003316,1.0002673
0.5345156,0.199,2.661553,1.9898912
0.113890626,0.096,0.9997957,0.9996657
0.20724687,0.321,0.9994903,0.999858
0.7149125,0.723,1.156413,1.0870395
0.7131094,0.981,1.0117016,1.0072072
0.7074906,0.392,2.160211,1.7817686
0.5959844,0.843,1.0064125,1.0034268
0.7468031,0.915,1.0360663,1.0197548
0.13539375,0.102,1.0000443,0.99984026
0.8837562,0.925,1.1316319,1.0854914
0.24771562,0.627,1.0004897,1.0003185
0.8973125,0.699,1.5493412,1.363842
0.596575,0.007,3.9607723,2.8366206
0.7616094,0.861,1.0727855,1.0397652
0.26402813,0.696,1.0004561,1.0002666
0.8199844,0.363,2.6087112,2.2092094
0.9523906,0.884,1.2639313,1.1753107
0.73768437,0.431,2.0747657,1.7278622
0.9394031,0.83,1.3335986,1.2173107
0.9441625,0.857,1.2939837,1.1923292
0.6187062,0.892,1.0051234,1.0026864
0.20225,0.625,1.0002949,1.0002105
0.055825,0.886,0.9999572,1.0000527
0.24576876,0.628,1.000484,1.0003141
0.60727185,0.25,2.5880303,2.0390587
0.03181875,0.075,0.99967945,0.9997135
0.15582187,0.361,0.9998827,0.99999434
0.7082281,0.437,1.9561968,1.6263444
0.58449376,0.526,1.2570696,1.1352987
0.6236219,0.97,1.0019447,1.0011734
0.7959344,0.531,1.8354679,1.5608944
0.6004375,0.173,3.0271134,2.3602774
0.80602187,0.131,3.5466764,3.0517235
0.083221875,0.978,0.99994147,1.0000612
0.5127406,0.855,1.0007949,1.0004863
0.15208125,0.591,1.000169,1.0002319
0.06951875,0.56,1.0001247,1.000039
0.020328125,0.935,0.9997046,1.0000225
0.03880625,0.977,0.9997628,0.9999681
0.6475594,0.001,3.9949443,2.9720802
0.92885,0.131,3.6461332,3.2512507
0.334725,0.152,1.7155961,1.1869365
0.9512,0.519,2.282094,1.9632872
0.29208437,0.346,1.0007359,1.0000272
0.6140031,0.55,1.2743273,1.1484843
0.6807219,0.334,2.3621504,1.9259086
0.20119688,0.052,0.99735457,0.99805534
0.15576562,0.437,0.99999833,1.00015
0.37029374,0.64,1.0004529,1.0000957
0.007815625,0.27,0.99998975,0.999827
0.85108125,0.949,1.0855249,1.0562121
0.6305406,0.969,1.0022676,1.0013702
0.481925,0.685,1.0035794,1.0019255
0.40280625,0.871,1.000289,1.0002983
0.57179374,0.336,1.9552112,1.5589885
0.48995626,0.698,1.0036709,1.0019875
0.40895626,0.723,1.000517,1.0002123
0.00336875,0.522,1.000161,0.99998504
0.50077814,0.018,3.8700259,2.5027966
0.5207094,0.27,2.1214356,1.6221321
0.7142031,0.101,3.5777433,2.9522233
0.4972125,0.71,1.003732,1.0020365
0.027628126,0.01,0.999013,0.999692
0.29824376,0.61,1.0005318,1.0002646
0.26807812,0.883,0.99987066,0.9999211
0.28885314,0.706,1.000458,1.0002388
0.6929656,0.559,1.454411,1.2705559
0.93027186,0.304,3.073807,2.6962924
0.4204125,0.591,1.0023909,1.0013233
0.48744375,0.863,1.0004629,1.0003383
0.54485,0.158,2.975721,2.219599
0.1666625,0.706,1.0002165,1.0001471
0.17904063,0.786,1.0001789,1.0000517
0.10385312,0.086,0.9997089,0.9996333
0.21855937,0.528,1.0002975,1.0002129
0.5506469,0.427,1.4473238,1.2371143
0.60587186,0.353,2.0009134,1.6109586
0.31939688,0.8,1.0002372,1.0000521
0.279325,0.47,1.0001132,1.0002422
0.78466564,0.565,1.6827669,1.4448332
0.85775,0.683,1.5055251,1.327505
0.0115375,0.269,1.0000054,0.99982536
0.33990937,0.841,1.0001765,1.0000166
0.7955656,0.604,1.5846518,1.3758991
0.71485937,0.179,3.2282782,2.6810915
0.95164686,0.353,2.92663,2.5602257
0.85142815,0.538,1.9596589,1.6703036
0.45525312,0.123,2.9520922,1.9712286
0.78027815,0.895,1.064995,1.0365416
0.6475469,0.306,2.403071,1.934746
0.5392,0.121,3.2105792,2.356994
0.42151874,0.17,2.3449843,1.5850071
0.90308124,0.644,1.7231153,1.4948338
0.00325625,0.191,1.0001528,0.99989045
0.6600469,0.726,1.0851413,1.0449253
0.7758875,0.284,2.862184,2.4126546
0.4719375,0.539,1.0376853,1.0165004
0.799325,0.388,2.4447122,2.056416
0.4013625,0.672,1.0006121,1.0001922
0.17793438,0.797,1.0001644,1.0000372
0.22386874,0.246,0.99991196,0.99993557
0.43055937,0.34,1.2834656,1.1197245
0.7287969,0.679,1.24898,1.1437665
0.81352186,0.773,1.2300154,1.1370201
0.5980125,0.466,1.4718063,1.2631938
0.63979375,0.468,1.602907,1.3564152
0.88545,0.329,2.8963337,2.5040767
0.45114374,0.02,3.8317823,2.281109
0.10520312,0.123,0.9997003,0.99967265
0.19299063,0.819,1.0001585,1.0000134
0.6168187,0.462,1.5490712,1.3157101
0.5461063,0.126,3.192803,2.363183
0.82345,0.653,1.5092247,1.3261064
0.6748437,0.902,1.0138874,1.006976
0.2301,0.751,1.0002354,1.0001557
0.17919375,0.427,1.0000131,1.0000373
0.7631094,0.185,3.2792392,2.7775342
0.6463063,0.622,1.197965,1.1074003
0.78910315,0.404,2.3453445,1.9675672
0.3321719,0.853,1.0000954,0.9999823
0.31515938,0.235,1.0829667,1.0179753
0.64439064,0.308,2.3817685,1.915879
0.1353375,0.568,1.0001183,1.0002307
0.1566125,0.767,1.0001519,1.0000846
0.60745,0.849,1.0076113,1.0039827
0.14606562,0.022,1.0009928,0.9993745
0.20520625,0.823,1.0001525,1.000023
0.011528125,0.616,1.0001951,1.0001009
0.78353435,0.303,2.7924774,2.3547719
0.04205,0.681,1.0001743,1.000115
0.013940625,0.81,0.9999386,1.0001214
0.5279844,0.9,1.000804,1.0004125
0.451775,0.46,1.0807445,1.0345271
0.79060626,0.474,2.0459657,1.7230867
0.5086375,0.343,1.6364415,1.3278149
0.9462094,0.668,1.7486359,1.5211132
0.92372185,0.592,1.946587,1.6747255
0.2335625,0.482,1.0001042,1.0001864
0.92855,0.209,3.405333,3.0249426
0.35547188,0.449,1.0025032,1.0009742
0.15290312,0.15,1.0000578,0.9999501
0.8746281,0.873,1.1748496,1.1079382
0.68314373,0.949,1.0088323,1.0048758
0.6994906,0.486,1.7245156,1.4553336
0.17658438,0.894,1.0000324,0.99992204
0.2452125,0.855,1.0000014,1.0000093
0.04693125,0.87,0.99994564,1.0000621
0.8206469,0.341,2.7075615,2.2983446
0.61164373,0.884,1.0049374,1.0026102
0.94715935,0.127,3.6695967,3.2859097
0.89118123,0.986,1.1030687,1.0745322
0.012596875,0.82,0.9999117,1.000115
0.14886563,0.805,1.0000982,1.0000598
0.94430625,0.782,1.4401467,1.2910459
0.35511562,0.57,1.0003786,1.0000643
0.40695,0.793,1.0004005,1.0002961
0.9491906,0.87,1.2806097,1.1848729
0.32127813,0.475,1.0000677,1.0000955
0.9300187,0.918,1.1902738,1.127442
0.030290624,0.008,0.9989882,0.9996732
0.24432187,0.962,0.9998697,0.99988633
0.52243125,0.226,2.4260874,1.8164241
0.777775,0.298,2.8021579,2.359915
0.9545219,0.465,2.4984474,2.1570053
0.4119375,0.909,1.0002029,1.0003293
0.92485,0.119,3.6779869,3.2747927
0.1394,0.54,1.0001011,1.0002446
0.75909376,0.955,1.0290952,1.0175661
0.3120375,0.365,1.0017604,1.0002345
0.86441565,0.404,2.5383723,2.1644423
0.14339375,0.772,1.0001253,1.0000932
0.42711875,0.53,1.0114398,1.0048411
0.91029686,0.578,1.9632695,1.6856552
0.052865624,0.463,1.0000306,0.9999471
0.8266,0.266,3.0439277,2.6127458
0.03314375,0.638,1.0001676,1.0001061
0.52542186,0.856,1.0009987,1.0005924
0.5758344,0.533,1.2203059,1.1140217
0.7170906,0.367,2.3100743,1.9052758
0.42952812,0.999,1.0000614,1.0003395
0.64322186,0.836,1.0186594,1.0093939
0.7031281,0.12,3.482285,2.8673813
0.64991564,0.119,3.418528,2.732284
0.008240625,0.691,1.0001687,1.0001329
0.9187437,0.377,2.7698894,2.3974957
0.7620594,0.5,1.8580136,1.5695649
0.5043906,0.298,1.8653767,1.4542214
0.0360625,0.751,1.0001044,1.0001293
0.00021875,0.57,1.0002434,1.0000201
0.35415313,0.461,1.0016954,1.0006683
0.7476125,0.665,1.3136007,1.1860069
0.82952815,0.974,1.0601275,1.0408581
0.72396874,0.906,1.0290608,1.0152998
0.73537815,0.213,3.1065347,2.5982118
0.011678125,0.459,1.0000108,0.99992675
0.0609125,0.02,0.99933684,0.99961454
0.0365875,0.769,1.000082,1.0001259
0.3694375,0.612,1.000474,1.0000858
0.460275,0.088,3.27036,2.1414735
0.070425,0.245,0.9999572,0.99995613
0.19600312,0.495,1.0001725,1.0001307
0.93925,0.197,3.4554734,3.0807343
0.63870937,0.113,3.433622,2.7215307
0.27518126,0.56,1.0003897,1.000302
0.19041875,0.826,1.0001479,1.0000011
0.71715,0.115,3.5202472,2.91647
0.1453125,0.839,1.0000546,1.0000435
0.40737188,0.217,1.8296163,1.3354354
0.92938125,0.38,2.7795756,2.410516
0.6941469,0.919,1.0156609,1.008105
0.091675,0.278,0.9998606,1.0000515
0.5793844,0.431,1.5369781,1.2979155
0.72006875,0.429,2.0291958,1.6859742
0.63714373,0.348,2.1430407,1.7311965
0.0318375,0.311,1.0000147,0.99983746
0.9546,0.756,1.5214256,1.3507307
0.55750626,0.228,2.5518212,1.9508504
0.4196281,0.222,1.8806889,1.3736115
0.5312125,0.66,1.0225396,1.0110358
0.7499156,0.711,1.2293379,1.1329428
0.77176875,0.0,3.999893,3.2230475
0.6641,0.446,1.7726898,1.4783564
0.7491406,0.068,3.7388895,3.1073956
0.8920625,0.848,1.231006,1.1444253
0.17034063,0.545,1.0001702,1.0002128
0.6156531,0.739,1.0389898,1.0200206
0.2412375,0.479,1.0000507,1.000185
0.8451281,0.375,2.6164744,2.227083
0.1543375,0.381,0.9999098,1.0000484
0.68505,0.989,1.0065632,1.0040594
0.2903125,0.004,3.8726265,1.2188284
0.22655937,0.175,0.99990994,0.99969864
0.28968439,0.302,1.0023211,0.9998307
0.17868125,0.306,0.9997728,0.9998573
0.071865626,0.888,1.000014,1.000073
0.8420375,0.647,1.5695086,1.371595
0.43836874,0.096,3.134765,1.9972789
0.04529375,0.693,1.0001745,1.0001138
0.0168875,0.457,0.9999984,0.99992836
0.36399376,0.654,1.0004206,1.0000966
0.04005625,0.777,1.0000811,1.0001194
0.7831031,0.748,1.2224427,1.1304965
0.65998435,0.743,1.07128,1.0373924
0.42040938,0.542,1.0067875,1.0030601
0.79715,0.653,1.4491091,1.2811049
0.049371876,0.029,0.9992353,0.9996192
0.15223125,0.818,1.0000871,1.0000421
0.40495938,0.39,1.080468,1.0308691
0.9583344,0.666,1.7824923,1.549486
0.7549344,0.15,3.415895,2.8857176
0.23055312,0.558,1.0003841,1.000273
0.32461876,0.562,1.0001924,1.0001111
0.7513969,0.043,3.8357604,3.1556866
0.33819687,0.289,1.066246,1.0182172
0.47884062,0.027,3.7917085,2.399026
0.38039687,0.009,3.899826,1.8973066
0.8224125,0.208,3.2733102,2.8250952
0.69869685,0.962,1.0103557,1.0059932
0.16296875,0.901,0.99999195,0.9999495
0.75093436,0.521,1.7453117,1.4832933
0.5787031,0.243,2.5331473,1.9652606
0.21645,0.9,1.0000453,0.99993044
0.58193123,0.725,1.0255003,1.013063
0.371425,0.493,1.0020888,1.0009234
0.6656344,0.465,1.6995876,1.4284129
0.59151876,0.293,2.2784667,1.7958238
0.040090624,0.83,0.99998957,1.0000936
0.72209686,0.299,2.6597524,2.198534
0.94409686,0.347,2.9357283,2.5662792
0.3097031,0.392,1.0007708,1.0001163
0.55263126,0.084,3.4766674,2.5454915
0.058978125,0.135,0.99978244,0.99975675
0.94862187,0.75,1.5243603,1.3520525
0.59659064,0.137,3.2309983,2.4997082
0.034296874,0.893,0.9998379,1.0000441
0.12338125,0.056,1.0000365,0.9997153
0.35073438,0.556,1.0003484,1.0000626
0.6093594,0.717,1.0460317,1.0235723
0.5397437,0.364,1.6725459,1.3642206
0.41516563,0.014,3.8685668,2.1009557
0.77585936,0.26,2.9713473,2.511374
0.20465937,0.956,1.0000141,0.999848
0.2617531,0.716,1.0004041,1.0002332
0.36713436,0.804,1.0004046,1.0001191
0.5990844,0.038,3.791299,2.811294
0.84635,0.491,2.1298816,1.8071007
0.29295,0.243,1.010597,1.0014312
0.17790624,0.341,0.9998389,0.9998884
0.2137,0.507,1.0002403,1.0001779
0.13340938,0.616,1.0001459,1.0002033
0.43330312,0.309,1.4244566,1.182841
0.48399064,0.843,1.0005069,1.0003675
0.39907813,0.583,1.0012605,1.0006449
0.7981656,0.739,1.2625995,1.1569302
0.48547187,0.325,1.6165411,1.3042462
0.85538435,0.8,1.2511959,1.1535431
0.8008969,0.164,3.416645,2.9360535
0.28100625,0.477,1.0001402,1.0002452
0.50438124,0.146,2.938157,2.1029553
0.10974687,0.709,1.0001664,1.000134
0.48172188,0.942,1.0001562,1.0002877
0.8786719,0.854,1.2041485,1.1261113
0.5583094,0.727,1.0150876,1.0078133
0.5923344,0.309,2.1892061,1.7332329
0.5798156,0.884,1.0023522,1.0013212
0.77404374,0.249,3.0172095,2.5516534
0.022275,0.901,0.99976426,1.0000484
0.69170624,0.904,1.0181158,1.009199
0.60630625,0.698,1.0551505,1.0281782
0.53410935,0.937,1.0007637,1.0003465
0.3535375,0.17,1.7548627,1.2289424
0.48611876,0.993,1.0001681,1.0002954
0.01961875,0.81,0.99995136,1.0001203
0.3701,0.469,1.0035341,1.0014658
0.81191874,0.746,1.2735436,1.1649029
0.3407969,0.665,1.0004859,1.0001057
0.023315625,0.349,0.99995035,0.99983835
0.07898437,0.779,1.000164,1.0001124
0.24120624,0.902,0.99993837,0.99994874
0.92626876,0.234,3.3187084,2.9378495
0.8515875,0.708,1.4292567,1.273046
0.49371874,0.722,1.0026479,1.001536
0.5339125,0.606,1.0519902,1.0249819
0.118690625,0.601,1.0001241,1.0001802
0.31385,0.176,1.297536,1.063581
0.18331562,0.999,0.99994266,0.999837
0.7559031,0.038,3.8562121,3.1705954
0.89452815,0.906,1.1612753,1.1034626
0.8433969,0.889,1.1232057,1.0742213
0.460525,0.732,1.00088,1.0006291
0.5117375,0.886,1.0006576,1.0003767
0.74324685,0.525,1.7084208,1.4548002
0.2545875,0.84,1.0000161,1.0000198
0.93544376,0.166,3.5477955,3.1671488
0.094946876,0.13,0.9996578,0.9997048
0.03821875,0.796,1.0000412,1.0001119
0.05576875,0.711,1.0001843,1.0001086
0.019340625,0.011,0.99908686,0.99977666
0.3316125,0.136,1.8473821,1.2118884
0.04318125,0.822,1.0000175,1.0000967
0.62617815,0.527,1.3653163,1.2039474
0.09384687,0.0,1.0000899,0.99956876
0.62880313,0.568,1.2684565,1.1466922
0.2503656,0.609,1.0004883,1.0003308
0.29745936,0.539,1.0003462,1.0002377
0.62446874,0.531,1.3495395,1.1941917
0.27229062,0.764,1.000282,1.0001404
0.29925,0.997,0.9996145,0.9997305
0.27035937,0.079,1.445626,1.0316935
0.7746969,0.442,2.1363442,1.7901114
0.8901219,0.705,1.5179133,1.3401343
0.69598436,0.45,1.8604804,1.551511
0.8170781,0.131,3.5570533,3.0722253
0.022171875,0.078,0.99983084,0.9997813
0.56070626,0.84,1.0027995,1.0016171
0.38190624,0.774,1.0004585,1.0002042
0.12087812,0.43,0.9999574,1.0002211
0.38592812,0.157,2.2033381,1.4430726
0.6105594,0.299,2.314474,1.8382365
0.06888125,0.292,0.9999992,0.999984
0.46484375,0.294,1.6790553,1.3230674
0.19255938,0.93,1.000023,0.9998696
0.73805624,0.872,1.0501095,1.0265714
0.37745938,0.091,2.8996282,1.6549065
0.15247187,0.31,0.9998241,0.9998949
0.19501875,0.453,1.0000844,1.0000696
0.15613125,0.023,1.0009375,0.9989883
0.2312125,0.633,1.000418,1.000272
0.7349875,0.05,3.8020256,3.1140153
0.8376844,0.711,1.3938456,1.247257
